name,sample,rank90,rank95
iid_shuffle,0,4,5
iid_shuffle,1,4,5
iid_shuffle,2,5,5
iid_shuffle,3,4,4
iid_shuffle,4,4,5
iid_shuffle,5,5,6
iid_shuffle,6,4,4
iid_shuffle,7,4,5
iid_shuffle,8,5,5
iid_shuffle,9,4,5
iid_shuffle,10,4,5
iid_shuffle,11,4,5
iid_shuffle,12,5,5
iid_shuffle,13,4,5
iid_shuffle,14,4,5
iid_shuffle,15,3,4
iid_shuffle,16,4,4
iid_shuffle,17,4,5
iid_shuffle,18,4,4
iid_shuffle,19,4,5
iid_shuffle,20,4,5
iid_shuffle,21,4,5
iid_shuffle,22,4,4
iid_shuffle,23,4,5
iid_shuffle,24,3,4
iid_shuffle,25,5,5
iid_shuffle,26,4,5
iid_shuffle,27,5,5
iid_shuffle,28,4,4
iid_shuffle,29,4,4
iid_shuffle,30,4,5
iid_shuffle,31,4,5
iid_shuffle,32,4,5
iid_shuffle,33,4,5
iid_shuffle,34,4,5
iid_shuffle,35,4,5
iid_shuffle,36,4,4
iid_shuffle,37,4,5
iid_shuffle,38,4,4
iid_shuffle,39,4,4
iid_shuffle,40,4,4
iid_shuffle,41,4,5
iid_shuffle,42,4,5
iid_shuffle,43,4,5
iid_shuffle,44,3,4
iid_shuffle,45,3,4
iid_shuffle,46,5,5
iid_shuffle,47,4,5
iid_shuffle,48,4,5
iid_shuffle,49,4,4
iid_shuffle,50,3,4
iid_shuffle,51,5,6
iid_shuffle,52,4,5
iid_shuffle,53,4,5
iid_shuffle,54,4,5
iid_shuffle,55,4,4
iid_shuffle,56,4,4
iid_shuffle,57,4,5
iid_shuffle,58,4,5
iid_shuffle,59,4,5
iid_shuffle,60,4,5
iid_shuffle,61,4,4
iid_shuffle,62,4,5
iid_shuffle,63,4,4
iid_shuffle,64,4,5
iid_shuffle,65,3,4
iid_shuffle,66,3,4
iid_shuffle,67,4,5
iid_shuffle,68,4,4
iid_shuffle,69,4,5
iid_shuffle,70,4,5
iid_shuffle,71,4,4
iid_shuffle,72,4,5
iid_shuffle,73,4,5
iid_shuffle,74,4,4
iid_shuffle,75,4,4
iid_shuffle,76,4,5
iid_shuffle,77,4,4
iid_shuffle,78,4,5
iid_shuffle,79,4,4
iid_shuffle,80,4,5
iid_shuffle,81,3,4
iid_shuffle,82,4,5
iid_shuffle,83,4,5
iid_shuffle,84,4,4
iid_shuffle,85,4,4
iid_shuffle,86,4,4
iid_shuffle,87,4,5
iid_shuffle,88,4,4
iid_shuffle,89,4,5
iid_shuffle,90,4,5
iid_shuffle,91,4,5
iid_shuffle,92,4,5
iid_shuffle,93,4,5
iid_shuffle,94,4,4
iid_shuffle,95,4,5
iid_shuffle,96,5,5
iid_shuffle,97,4,5
iid_shuffle,98,4,5
iid_shuffle,99,3,4
iid_shuffle,100,4,5
iid_shuffle,101,4,4
iid_shuffle,102,5,6
iid_shuffle,103,5,5
iid_shuffle,104,4,5
iid_shuffle,105,4,5
iid_shuffle,106,4,5
iid_shuffle,107,3,4
iid_shuffle,108,4,5
iid_shuffle,109,4,4
iid_shuffle,110,4,5
iid_shuffle,111,4,5
iid_shuffle,112,4,5
iid_shuffle,113,5,5
iid_shuffle,114,3,4
iid_shuffle,115,4,5
iid_shuffle,116,4,5
iid_shuffle,117,4,4
iid_shuffle,118,5,5
iid_shuffle,119,4,5
iid_shuffle,120,3,4
iid_shuffle,121,4,4
iid_shuffle,122,4,5
iid_shuffle,123,4,5
iid_shuffle,124,4,4
iid_shuffle,125,4,5
iid_shuffle,126,4,5
iid_shuffle,127,4,4
iid_shuffle,128,4,4
iid_shuffle,129,4,4
iid_shuffle,130,4,4
iid_shuffle,131,4,5
iid_shuffle,132,4,5
iid_shuffle,133,4,5
iid_shuffle,134,4,5
iid_shuffle,135,4,5
iid_shuffle,136,5,6
iid_shuffle,137,3,4
iid_shuffle,138,4,4
iid_shuffle,139,4,4
iid_shuffle,140,4,5
iid_shuffle,141,4,5
iid_shuffle,142,4,5
iid_shuffle,143,5,5
iid_shuffle,144,4,4
iid_shuffle,145,4,5
iid_shuffle,146,4,5
iid_shuffle,147,4,4
iid_shuffle,148,4,5
iid_shuffle,149,4,5
iid_shuffle,150,4,5
iid_shuffle,151,3,4
iid_shuffle,152,4,5
iid_shuffle,153,4,5
iid_shuffle,154,4,5
iid_shuffle,155,4,5
iid_shuffle,156,4,5
