control,transition,delta_entry,slice_norm
prime,11->13,-0.0024127400952495826,0.0029991406705952386
prime,17->19,0.001139281309886886,0.0029991406705952386
prime,29->1,0.0013695138158251324,0.0029991406705952386
iid,11->13,0.0006802660255889048,0.0024763576123700563
iid,17->19,6.289070389284279e-05,0.0024763576123700563
iid,29->1,0.002380258372138719,0.0024763576123700563
iid,11->13,-0.0004498960222861087,0.003286462234334528
iid,17->19,0.002243597047804552,0.003286462234334528
iid,29->1,-0.002358961609251184,0.003286462234334528
iid,11->13,0.0019629363134830158,0.0032862004609239682
iid,17->19,-0.0024994585747586534,0.0032862004609239682
iid,29->1,-0.000835883563453696,0.0032862004609239682
iid,11->13,0.002084783263571588,0.005503251058158919
iid,17->19,0.0007278875426161707,0.005503251058158919
iid,29->1,-0.005040796631323591,0.005503251058158919
iid,11->13,-0.0008822967872017945,0.0031402614639877533
iid,17->19,-0.0011928520875735399,0.0031402614639877533
iid,29->1,-0.0027676521346931132,0.0031402614639877533
iid,11->13,-0.00013450773723766574,0.0024519622264955023
iid,17->19,-0.002447136096153782,0.0024519622264955023
iid,29->1,7.450742033658642e-05,0.0024519622264955023
iid,11->13,-0.0008856710387915162,0.00196908168550404
iid,17->19,0.0002954171185097637,0.00196908168550404
iid,29->1,-0.00173366612164072,0.00196908168550404
iid,11->13,0.0009828861375442421,0.0014685908606392089
iid,17->19,-0.0002290266966466642,0.0014685908606392089
iid,29->1,-0.0010668836528879289,0.0014685908606392089
iid,11->13,-0.0007785311169701548,0.001449534080589177
iid,17->19,0.0008049440339071567,0.001449534080589177
iid,29->1,0.0009203822319971133,0.001449534080589177
iid,11->13,-0.0012082734041441168,0.0024896150587923735
iid,17->19,-0.0019923442045932382,0.0024896150587923735
iid,29->1,-0.0008768255768552141,0.0024896150587923735
iid,11->13,7.273558220352583e-05,0.002584115476980793
iid,17->19,0.0016092377979625289,0.002584115476980793
iid,29->1,-0.002020573196660269,0.002584115476980793
iid,11->13,0.0067253179278888575,0.009029019123723616
iid,17->19,-0.0046080915693013785,0.009029019123723616
iid,29->1,0.003880564030436434,0.009029019123723616
iid,11->13,0.001582506564602626,0.0036759641297593724
iid,17->19,-0.0031443601446357605,0.0036759641297593724
iid,29->1,0.0010589544546831808,0.0036759641297593724
iid,11->13,-0.0003262168003659027,0.005492492971039374
iid,17->19,-0.0029053145272710107,0.005492492971039374
iid,29->1,-0.004649753663765854,0.005492492971039374
iid,11->13,-0.0009985387333875245,0.004024627295906894
iid,17->19,-0.0035705612186956864,0.004024627295906894
iid,29->1,0.001565770689606255,0.004024627295906894
iid,11->13,-0.004992031418816073,0.0066966439005818395
iid,17->19,-0.0017289879098596472,0.0066966439005818395
iid,29->1,0.0041152475809253936,0.0066966439005818395
iid,11->13,-0.0006101406895304973,0.00402403400870234
iid,17->19,-0.0008135579744154159,0.00402403400870234
iid,29->1,-0.0038934177099866074,0.00402403400870234
iid,11->13,-0.0014873679264042067,0.0025194048749301464
iid,17->19,0.0013801788793450231,0.0025194048749301464
iid,29->1,-0.0014934000925189983,0.0025194048749301464
iid,11->13,0.001564646366668948,0.004230950526520109
iid,17->19,0.0028312846182715345,0.004230950526520109
iid,29->1,0.0027270224633232226,0.004230950526520109
iid,11->13,-0.003251492409550541,0.008608779222915485
iid,17->19,0.004783663530687876,0.008608779222915485
iid,29->1,-0.006376161858414775,0.008608779222915485
iid,11->13,0.0026981495081214724,0.0035750374398670856
iid,17->19,-0.0008680115418625012,0.0035750374398670856
iid,29->1,-0.002178861604478069,0.0035750374398670856
iid,11->13,-0.003588693019787398,0.004892992374718054
iid,17->19,0.001931679709259726,0.004892992374718054
iid,29->1,-0.0027076318600600946,0.004892992374718054
iid,11->13,0.0011082597783341197,0.002040668947584505
iid,17->19,0.0015392690832909395,0.002040668947584505
iid,29->1,-0.0007528218292445626,0.002040668947584505
iid,11->13,0.0006174485732426127,0.0027786033325257523
iid,17->19,0.0026953385276063113,0.0027786033325257523
iid,29->1,0.0002730273988538895,0.0027786033325257523
iid,11->13,-0.0004108268289682443,0.0019160154119277739
iid,17->19,-0.001769192734081687,0.0019160154119277739
iid,29->1,-0.0006101585408868904,0.0019160154119277739
iid,11->13,0.003541067333965975,0.005714082156797639
iid,17->19,0.0034232900653370785,0.005714082156797639
iid,29->1,0.002897009174910689,0.005714082156797639
iid,11->13,0.004564375232771478,0.006052824011236057
iid,17->19,0.00017543419821949846,0.006052824011236057
iid,29->1,0.003971445591664721,0.006052824011236057
iid,11->13,0.0030391875922237688,0.0037688795032288893
iid,17->19,-0.0012320470521913762,0.0037688795032288893
iid,29->1,-0.0018573776003598386,0.0037688795032288893
iid,11->13,-0.0008756203547850977,0.0035859598459459206
